ItemID,SpriteShow,ItemQuality
物品ID,精灵蛋预览展示（0不展示，1金币展示、2龙币展示）,品质（CBASL，1-5）
3201,1,1
3202,1,1
3203,1,1
3204,1,1
3205,1,1
3206,1,1
3207,1,1
3208,1,1
3209,1,1
3210,1,1
3211,1,1
3212,1,1
3213,1,1
3214,1,1
3215,1,1
3216,1,1
3217,1,1
3218,1,1
3219,1,1
3220,1,1
3221,1,1
3301,1|2,2
3302,1|2,2
3303,1|2,2
3304,1|2,2
3305,1|2,2
3306,1|2,2
3307,1|2,2
3308,1|2,2
3309,1|2,2
3310,0,2
3311,0,2
3312,0,2
3401,2,3
3402,2,3
3403,2,3
3404,2,3
3405,0,3
3406,2,3
3407,2,3
3408,2,3
3409,0,3
3410,2,3
3411,0,3
3412,0,3
3413,2,3
3414,2,3
3415,2,3
3501,2,4
3502,2,4
3503,2,4
3504,2,4
3505,2,4
3506,0,5
3507,2,4
3508,0,4
3509,0,4
600,1,1
601,1,2
602,2,3
603,2,3
604,2,2
3510,0,4
3511,0,4